section,index,sentence_text,highlight_pos,highlight_sinhala,highlight_singlish,main_vowel_char,main_vowel_name
NoHeader,01,ඔහු ගසේ මල කැඩුවා || ඔහු ගසේ මුල කැඩුවා,1,මල,Mala,අ,a
NoHeader,01,ඔහු ගසේ මල කැඩුවා || ඔහු ගසේ මුල කැඩුවා,2,මුල,Mula,උ,u
NoHeader,02,නංගී කජු කන්න ආසයි || නංගී කේජු කන්න ආසයි,1,කජු,Kaju,අ,a
NoHeader,02,නංගී කජු කන්න ආසයි || නංගී කේජු කන්න ආසයි,2,කේජු,Keeju,ඒ,ee
NoHeader,03,එතන වලක් තියනවා || එතන විලක් තියනවා,1,වලක්,Valak,අ,a
NoHeader,03,එතන වලක් තියනවා || එතන විලක් තියනවා,2,විලක්,Vilak,ඉ,i
NoHeader,04,ගෝනියේ හාල් තියෙනවා || ගෝනියේ හිල් තියෙනවා,1,හාල්,Haal,ආ,aa
NoHeader,04,ගෝනියේ හාල් තියෙනවා || ගෝනියේ හිල් තියෙනවා,2,හිල්,Hil,ඉ,i
NoHeader,05,තාත්තා කුඩයක් ගෙනවා || තාත්තා කූඩයක් ගෙනවා,1,කුඩයක්,Kudayak,උ,u
NoHeader,05,තාත්තා කුඩයක් ගෙනවා || තාත්තා කූඩයක් ගෙනවා,2,කූඩයක්,Kuudayak,ඌ,uu
NoHeader,06,ගිය මාසේ කඩපු තැඹිලි ටික පල් වෙලා || ගිය මාසේ කඩපු තැඹිලි ටික පොල් වෙලා,1,පල්,Pal,අ,a
NoHeader,06,ගිය මාසේ කඩපු තැඹිලි ටික පල් වෙලා || ගිය මාසේ කඩපු තැඹිලි ටික පොල් වෙලා,2,පොල්,Pol,ඔ,o
NoHeader,07,මල්ලී බල්ලාව දැක්කාද? || මල්ලී බිල්ලාව දැක්කාද?,1,බල්ලාව,Ballaava,අ,a
NoHeader,07,මල්ලී බල්ලාව දැක්කාද? || මල්ලී බිල්ලාව දැක්කාද?,2,බිල්ලාව,Billaava,ඉ,i
