section,index,sentence_no,sentence_text,file_path,method
NoHeader,01,1,ඔහු ගසේ මල කැඩුවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\01_1_ohu_gsee_ml_kaedduvaa.mp3,gTTS
NoHeader,01,2,ඔහු ගසේ මුල කැඩුවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\01_2_ohu_gsee_mul_kaedduvaa.mp3,gTTS
NoHeader,02,1,නංගී කජු කන්න ආසයි,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\02_1_nNgii_kju_knn_aasyi.mp3,gTTS
NoHeader,02,2,නංගී කේජු කන්න ආසයි,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\02_2_nNgii_keeju_knn_aasyi.mp3,gTTS
NoHeader,03,1,එතන වලක් තියනවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\03_1_etn_vlk_tiynvaa.mp3,gTTS
NoHeader,03,2,එතන විලක් තියනවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\03_2_etn_vilk_tiynvaa.mp3,gTTS
NoHeader,04,1,ගෝනියේ හාල් තියෙනවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\04_1_gooniyee_haal_tiyenvaa.mp3,gTTS
NoHeader,04,2,ගෝනියේ හිල් තියෙනවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\04_2_gooniyee_hil_tiyenvaa.mp3,gTTS
NoHeader,05,1,තාත්තා කුඩයක් ගෙනවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\05_1_taattaa_kuddyk_genvaa.mp3,gTTS
NoHeader,05,2,තාත්තා කූඩයක් ගෙනවා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\05_2_taattaa_kuuddyk_genvaa.mp3,gTTS
NoHeader,06,1,ගිය මාසේ කඩපු තැඹිලි ටික පල් වෙලා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\06_1_giy_maasee_kddpu_taembili.mp3,gTTS
NoHeader,06,2,ගිය මාසේ කඩපු තැඹිලි ටික පොල් වෙලා,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\06_2_giy_maasee_kddpu_taembili.mp3,gTTS
NoHeader,07,1,මල්ලී බල්ලාව දැක්කාද?,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\07_1_mllii_bllaav_daekkaad.mp3,gTTS
NoHeader,07,2,මල්ලී බිල්ලාව දැක්කාද?,C:\Users\94772\Desktop\HearingProject\hearing_project_v0.01\sentence_audio\NoHeader\07_2_mllii_billaav_daekkaad.mp3,gTTS
